,Operator Analysis for Inst1_Ord_80_Veh_45_Loc_45 

Bit Strings represent use of the following operators in order: 
,swapf,exch3,2-opt,rrif,rncic,reig,rsirg

Operators (1=used), Initial Objective, Average Objective,Best Objective,Best Realtive to Average,Average Run Time
0011000,6422128.600396535,30221.283945818916,28727.983611910346,0.04941220686009823,0.3529273614
0011001,6422128.600396535,24582.26068155039,20897.016951070043,0.14991476081962693,24.010935059
0011010,6422128.600396535,22279.30517087956,21085.190542528097,0.05359748067512656,13.575948414900001
0011011,6422128.600396535,23220.69925538384,20936.36945671919,0.0983747204828475,21.7934569637
0011100,6422128.600396535,26632.762450508493,25465.476614045838,0.043828943341187976,7.558436724000001
0011101,6422128.600396535,23527.955947659742,21276.307442133635,0.09570098271754339,20.584286711500003
0011110,6422128.600396535,23680.58359844148,21272.43739742478,0.10169285697735894,16.823632481500002
0011111,6422128.600396535,22060.119498767926,20872.344712854283,0.053842627007527386,16.369913876700004
0100000,6422128.600396535,6422128.600396535,6422128.600396535,0.0,0.0769527414
0100001,6422128.600396535,21743.50237803848,21085.784785704727,0.030248925904322804,17.7947156855
0100010,6422128.600396535,22167.389102035515,21228.392770727783,0.042359356214012066,11.1569160013
0100011,6422128.600396535,22048.855439184994,20866.691456754575,0.053615662077836884,15.864651161500001
0100100,6422128.600396535,50435.85304921994,44562.93862332303,0.11644324564443433,11.953863139000001
0100101,6422128.600396535,23208.853116494767,20799.643577887433,0.10380562652167782,20.8568300494
0100110,6422128.600396535,22359.99250453696,21799.85600898927,0.025050835568662853,12.5384989336
0100111,6422128.600396535,22413.642727257262,20830.4997245312,0.0706330078510977,18.6868388439
0101000,6422128.600396535,34452.43903526712,30622.787125935265,0.11115764272629997,0.21432926830000004
0101001,6422128.600396535,22435.166128469133,21146.485605817743,0.05744020415414339,16.328128495799998
0101010,6422128.600396535,22405.61498364094,21213.424918373912,0.05320943282018739,11.3068639957
0101011,6422128.600396535,22938.705862369177,20799.76083806131,0.09324610713182367,20.2546072103
0101100,6422128.600396535,27273.748915849246,25886.94799446558,0.05084746235886086,2.6307251665999996
0101101,6422128.600396535,24349.986515962617,20874.46744775093,0.14273186828803022,21.263500144600002
0101110,6422128.600396535,22513.290129158257,21126.56827155089,0.061595699680134494,11.751144647500002
0101111,6422128.600396535,22795.28969938349,20837.628681736296,0.08588006748166666,19.795231803500002
0110000,6422128.600396535,6422128.600396535,6422128.600396535,0.0,0.14738413169999998
0110001,6422128.600396535,21580.408731464726,20856.0893163665,0.03356374868109671,13.550528704800001
0110010,6422128.600396535,22662.98937474253,21630.24288209076,0.04556973820067831,12.1294668629
0110011,6422128.600396535,21439.159285785623,20943.411598682887,0.023123466759791336,13.516639097799999
0110100,6422128.600396535,50515.60731036035,44672.07618523245,0.11567773676808665,9.8802084791
0110101,6422128.600396535,23555.23255799432,22135.895419953355,0.06025570473764067,19.203065255100004
0110110,6422128.600396535,23358.770271666184,21259.21767009813,0.08988283959942785,12.526019318000001
0110111,6422128.600396535,22687.580557136193,21036.262747401266,0.07278509956477126,16.9213744318
0111000,6422128.600396535,33158.757487843104,30397.263197312655,0.08328099421526537,0.22355674460000002
0111001,6422128.600396535,24870.474560426414,22288.549706977632,0.1038148607569036,17.9081621003
0111010,6422128.600396535,22050.896782473617,21375.01200197463,0.03065112440398308,9.8031964676
0111011,6422128.600396535,22032.575626609636,20528.957429649217,0.06824523026461045,15.641009687299999
0111100,6422128.600396535,28380.71110154824,26226.451798796235,0.07590575497012422,2.4502411013
0111101,6422128.600396535,23482.816852678094,21192.640533514234,0.09752562196995022,15.5311946772
0111110,6422128.600396535,23597.187175878546,21008.295713108913,0.10971186707439613,10.9245752703
0111111,6422128.600396535,21886.936437200355,21139.89115681885,0.03413201671805392,14.234386309899998
1000000,6422128.600396535,6422128.600396526,6422128.600396525,1.4501773984376072E-16,0.14854511969999998
1000001,6422128.600396535,25110.937894444723,21600.26114528421,0.13980667563743918,23.6068794079
1000010,6422128.600396535,22674.26804322894,21040.321229012297,0.07206172261444084,17.3331181552
1000011,6422128.600396535,22314.31309090154,21250.01062828266,0.04769595453300516,20.375322551199996
1000100,6422128.600396535,45022.56378792395,37639.90311007882,0.16397690528288672,15.0515608465
