,Operator Analysis for Inst1_Ord_12_Veh_7_Loc_9 

Bit Strings represent use of the following operators in order: 
,swapf,exch3,2-opt,rrif,rncic,reig,rsirg

Operators (1=used), Initial Objective, Average Objective,Best Objective,Best Realtive to Average,Average Run Time
0101011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3983519681
0101100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3614118522
0101101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.380576102
0101110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.41164398790000006
0101111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.42348841419999994
0110000,1023745.5137204396,160837.12696302027,150170.49895588995,0.06631943885433116,0.0658867078
0110001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2408134066
0110010,1023745.5137204396,151544.15586373117,149692.38751349074,0.01221933198074322,0.2810041287
0110011,1023745.5137204396,149693.66190587357,149692.38751349074,8.513335612199747E-6,0.3292755814
0110100,1023745.5137204396,151239.37557540034,149692.38751349074,0.010228738752880811,0.28928426470000007
0110101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3202997451
0110110,1023745.5137204396,149741.12454915405,149692.38751349074,3.254752881684501E-4,0.36021018809999994
0110111,1023745.5137204396,149788.43466898464,149692.38751349074,6.412187676982722E-4,0.3868463267
0111000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.24249644910000004
0111001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2987724805
0111010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3291613392
0111011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.35326315379999995
0111100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.33163145609999994
0111101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3539897979
0111110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3916923733
0111111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4019534953
1000000,1023745.5137204396,159811.5507930934,150173.05311382428,0.06031164600703984,0.08490201369999999
1000001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.2899119236
1000010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.35073596919999994
1000011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3728393412
1000100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.34849138519999995
1000101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4033573047
1000110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.41787115259999996
1000111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4563682394
1001000,1023745.5137204396,150170.49895588998,150170.49895588995,1.9380524576456562E-16,0.3118284832
1001001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.33869744999999996
1001010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.37655745399999996
1001011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4368726801
1001100,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.41095592
1001101,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.4113297092
1001110,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.46929510939999997
1001111,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.49435178679999997
1010000,1023745.5137204396,156141.9523395435,150170.49895588995,0.03824374739895736,0.08968113729999999
1010001,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3298643
1010010,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.33462585400000006
1010011,1023745.5137204396,149692.38751349077,149692.38751349074,1.9442425189531278E-16,0.3953658306
