Results from runnning alns on input file instance AT-DE_W

Instance,Initial_Obj,Best_Obj,Run_Time,Segments,Segment_length
r&R1_4 weight,0.2,0.23031478019658685,0.19276302310325108,0.21057513993842275,0.18409425727678017,0.19437113117286337,0.19814100858715378,0.16851280686972303,0.14481024549577842,0.12584819639662276,0.1132214240583133,0.20290752272747659,0.1723260181819813,0.14786081454558503,0.12828865163646802,0.11263092130917442,0.10010473704733953,0.09008378963787163,0.0820670317102973,0.07565362536823785,0.07052290029459028,0.06641832023567223,0.06313465618853778,0.06050772495083022,0.0584061799606642,0.05672494396853135,0.05537995517482509,0.05430396413986008,0.05344317131188807,0.052754537049510455,0.05220362963960836,0.05176290371168668,0.05141032296934936,0.05112825837547949,0.0509026067003836,0.050722085360306896,0.05057766828824553,0.05046213463059643,0.050369707704477136,0.05029576616358172,0.050236612930865385,0.0501892903446923,0.05015143227575383,0.050121145820603084,0.05009691665648246,0.05007753332518596,0.050062026660148765,0.05004962132811903,0.050039697062495225,0.05003175764999617,0.050025406119996944,0.050020324895997566,0.05001625991679805,0.05001300793343845,0.05001040634675075,0.050008325077400585,0.05000666006192046,0.05000532804953638,0.0500042624396291,0.05000340995170327,0.05000272796136261,0.050002182369090084,0.05000174589527207,0.05000139671621766,0.05000111737297413,0.0500008938983793,0.05000071511870344,0.05000057209496275,0.05000045767597021,0.05000036614077616,0.05000029291262092,0.050000234330096746,0.05000018746407739,0.05000014997126192,0.05000011997700953,0.05000009598160763,0.05000007678528611,0.05000006142822888,0.05000004914258312,0.050000039314066484,0.19799061229897685,0.1663193959513428,0.14305551676107425,0.14374673899025472,0.12499739119220378,0.10999791295376303,0.09799833036301042,0.08839866429040834,0.08071893143232667,0.07457514514586133,0.0968029732595462,0.08744237860763698,0.07995390288610958,0.07396312230888767,0.06917049784711014,0.06533639827768811,0.06226911862215051,0.0598152948977204,0.057852235918176315,0.05628178873454105
r&r1_4 weight,0.2,0.21726466863655555,0.21940744354843136,0.2092511067347493,0.18154606449231364,0.1820303870246628,0.175608444997837,0.15048675599826963,0.1303894047986157,0.11431152383889255,0.1774574495237889,0.1519659596190311,0.13157276769522488,0.11525821415617991,0.10220657132494393,0.09176525705995514,0.08341220564796412,0.0767297645183713,0.07138381161469703,0.06710704929175763,0.0636856394334061,0.06094851154672489,0.0587588092373799,0.05700704738990392,0.055605637911923154,0.05448451032953852,0.05358760826363082,0.05287008661090466,0.05229606928872374,0.05183685543097899,0.05146948434478319,0.051175587475826546,0.05094046998066125,0.050752375984529,0.05060190078762321,0.05048152063009856,0.05038521650407886,0.0503081732032631,0.05024653856261047,0.050197230850088384,0.05015778468007071,0.05012622774405656,0.05010098219524524,0.05008078575619619,0.050064628604956946,0.05005170288396556,0.050041362307172446,0.050033089845737976,0.050026471876590387,0.0500211775012723,0.05001694200101785,0.05001355360081429,0.05001084288065143,0.05000867430452115,0.05000693944361691,0.05000555155489353,0.05000444124391482,0.050003552995131866,0.05000284239610549,0.05000227391688438,0.0500018191335075,0.050001455306806,0.050001164245444804,0.05000093139635584,0.05000074511708468,0.05000059609366774,0.05000047687493419,0.05000038149994736,0.05000030519995789,0.0500002441599663,0.050000195327973035,0.05000015626237844,0.050000125009902745,0.0500001000079222,0.05000008000633776,0.05000006400507021,0.05000005120405617,0.050000040963244924,0.05000003277059595,0.05000002621647677,0.05000002097318142,0.05000001677854514,0.0500000134228361,0.05000001073826888,0.05000000859061511,0.050000006872492085,0.050000005497993674,0.05000000439839493,0.050000003518715946,0.050000002814972765,0.050000002251978204,0.05000000180158258,0.05000000144126607,0.05000000115301286,0.050000000922410304,0.05000000073792824,0.05000000059034259,0.05000000047227407,0.05000000037781925,0.0500000003022554
retSame weight,0.2,0.17000000000000004,0.14600000000000005,0.12680000000000002,0.11144000000000003,0.09915200000000002,0.08932160000000001,0.08145728000000002,0.07516582400000002,0.07013265920000002,0.06610612736000002,0.06288490188800001,0.06030792151039999,0.05824633720831998,0.056597069766656,0.0552776558133248,0.05422212465065984,0.053377699720527874,0.0527021597764223,0.05216172782113784,0.051729382256910275,0.05138350580552822,0.05110680464442258,0.05088544371553806,0.05070835497243047,0.050566683977944366,0.0504533471823555,0.050362677745884404,0.050290142196707535,0.05023211375736605,0.05018569100589283,0.05014855280471426,0.050118842243771417,0.05009507379501714,0.050076059036013726,0.05006084722881099,0.050048677783048806,0.05003894222643905,0.05003115378115123,0.050024923024920995,0.0500199384199368,0.05001595073594943,0.050012760588759544,0.050010208471007636,0.0500081667768061,0.05000653342144488,0.050005226737155906,0.05000418138972474,0.0500033451117798,0.05000267608942383,0.05000214087153907,0.05000171269723127,0.05000137015778501,0.05000109612622802,0.050000876900982406,0.05000070152078593,0.05000056121662874,0.050000448973303,0.050000359178642394,0.0500002873429139,0.05000022987433113,0.05000018389946491,0.05000014711957193,0.05000011769565754,0.05000009415652604,0.05000007532522083,0.05000006026017666,0.05000004820814133,0.05000003856651307,0.05000003085321045,0.050000024682568346,0.05000001974605469,0.050000015796843746,0.050000012637475,0.050000010109979995,0.050000008087984,0.05000000647038721,0.05000000517630976,0.05000000414104782,0.05000000331283827,0.05000000265027062,0.0500000021202165,0.05000000169617319,0.05000000135693855,0.050000001085550846,0.050000000868440676,0.05000000069475254,0.050000000555802025,0.050000000444641625,0.0500000003557133,0.050000000284570634,0.05000000022765652,0.05000000018212522,0.050000000145700184,0.05000000011656015,0.05000000009324812,0.0500000000745985,0.05000000005967879,0.050000000047743035,0.05000000003819442


Operator,swap2 score,exch3 score,r&R1_4 score,r&r1_4 score,retSame score
1,0.0,0.0,0.0,8.0,0.0
2,0.0,0.0,0.0,8.0,0.0
3,0.0,0.0,0.0,16.0,0.0
4,0.0,0.0,0.0,16.0,0.0
